Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Cetyl alcohol,C H O · 036653-82-4 · 100 %,1,1,4,2,1,x,1,1,x,1,1,3,1,1,1,1,1
Chalk,CaCO · —,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chloral hydrate,C H Cl O · 000302-17-0 · techn. pure,3,3,4,3,4,x,3,3,x,x,4,4,x,x,1,1,4
Chloramine-T,C H ClNaNSO · 000127-65-1 · diluted,1,1,4,1,x,x,3,3,x,x,x,1,x,x,1,1,3
Chloric acid,HClO · 007790-93-4 · 1 %,x,1,4,3,x,x,3,1,x,x,1,1,x,x,x,1,1
Chloric acid,HClO · 007790-93-4 · 10 %,1,x,4,3,x,x,4,4,x,x,1,x,x,x,x,1,1
Chloric acid,HClO · 007790-93-4 · 20 %,3,1,4,3,4,x,4,1,x,x,1,x,x,x,x,1,1
Chlorine,Cl · 007782-50-5 · 10 % wet,3,3,4,2,4,2,4,4,4,4,1,x,4,1,1,1,2
Chlorine,Cl · 007782-50-5 · 97 %,4,4,4,4,4,4,4,4,4,4,4,4,4,x,1,1,1
Chlorine,Cl · 007782-50-5 · steam,4,4,4,4,4,4,4,4,4,4,4,4,4,x,1,1,1
Chlorine dioxide,ClO · 010049-04-4,x,x,4,3,x,x,3,3,x,x,x,x,x,x,x,1,2
Chlorine trifluoride,ClF · 007790-91-2,x,x,4,4,4,4,4,4,x,x,x,x,x,x,x,2,4
Chlorine water,Cl x H O · 007782-50-5,3,x,4,4,4,4,4,3,4,x,3,3,3,1,1,1,1
"Chloro acetophenone, p-",C 8 H 7 ClO · 000099-91-2,1,1,2,4,x,1,2,1,4,4,4,x,x,1,1,2,2
Chloroacetic acid,C 2 H 3 ClO 2 · 000079-11-8 · 50 %,1,1,4,4,4,x,4,1,x,x,1,x,3,x,1,1,1
Chloroacetic acid,C 2 H 3 ClO 2 · 000079-11-8,1,1,4,3,4,1,4,1,2,4,3,4,3,1,1,1,4
Chloroacetone,C 3 H 5 ClO · 000078-95-5,x,x,3,4,4,4,3,2,x,x,x,x,x,x,x,2,3
Chlorobenzene,C 6 H 5 Cl · 000108-90-7,3,3,4,4,1,4,1,3,4,4,4,4,4,1,1,1,1
Chlorodifluoroethane,C H ClF · 000075-68-3,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chlorodifluoromethane,CHClF · 000075-45-6,x,3,1,3,1,x,1,4,4,4,2,4,x,x,3,1,3
"Chloroethyl alcohol, 2-",C H ClO · 000107-07-3 · techn. pure,1,x,4,4,x,x,3,4,x,x,4,x,x,x,1,1,1
Chlorofluorocarbons (CFC),— · —,x,x,2,3,x,x,1,3,4,x,x,x,x,x,x,1,3
Chlorofluoromethane,CH ClF · 000593-70-4,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chloroform,CHCl · 000067-66-3 · 100 %,3,4,3,4,4,4,4,3,4,4,4,4,4,2,1,1,1
"Chloronaphthalene, 1-",C H Cl · 000090-13-1,x,x,2,3,x,x,2,4,x,x,x,x,x,x,1,1,1
Chloropentafluoroethane,C ClF · 000076-15-3,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chloroprene,C H Cl · 000126-99-8,x,x,2,3,x,4,2,3,x,x,x,x,x,x,1,1,2
Chlorosulfonic acid,ClHSO · 007790-94-5 · techn. pure,4,4,4,4,4,4,4,4,4,4,3,4,4,x,x,1,3
Chlorotoluene,C H Cl · —,x,x,2,4,x,4,1,3,x,x,x,x,x,x,1,1,1
Chlorotrifluoromethane,CClF 3 · 000075-72-9,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chromic acid,CrO 3 · 001333-82-0 · 10 %,1,1,4,2,3,1,4,1,1,4,1,x,x,1,1,1,1
Chromic acid,CrO 3 · 001333-82-0 · 20 %,x,1,4,3,4,x,4,3,1,1,1,1,x,x,1,1,1
Chromic acid,CrO 3 · 001333-82-0 · 50 %,3,3,4,3,4,2,4,3,3,4,1,1,3,1,1,1,1
Chromic potassium sulfate,KCr(SO 4 ) 2 x 12H 2 O · 007788-99-0 · saturated,1,x,2,1,2,x,3,1,x,x,1,x,x,1,1,1,1
Chromic-sulfuric acid,CrO 3 + H 2 SO 4 · 065272-71-1 · concentrated,4,4,4,4,4,4,4,4,4,x,x,4,4,1,x,1,4
Chromium salts,— · — · each,x,x,x,2,2,x,3,1,x,x,x,x,x,x,1,1,1
Cinnamaldehyde,C 9 H 8 O · 000104-55-2,x,x,2,3,x,4,2,3,4,x,x,x,4,x,1,1,2
Cinnamon,— · — · ground,x,x,2,1,2,x,2,2,3,x,x,x,1,x,1,1,1
Citric acid,C H O · 000077-92-9 · 10 %,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Citric acid,C H O · 000077-92-9 · 50 %,1,1,3,1,x,1,2,1,1,x,x,x,x,x,1,1,1
Citric acid,C H O · 000077-92-9 · saturated,1,1,3,1,x,1,2,1,1,x,1,1,x,x,1,1,1
Citrus juices,— · — · aqueous,1,1,1,1,1,x,1,1,x,x,1,1,x,x,1,1,1
Cleaning agents,— · —,1,1,1,1,1,x,x,1,x,x,1,x,x,x,1,1,1
Clophen A60,— · 011096-82-5,x,x,1,3,x,x,2,4,x,x,4,x,x,x,x,1,2
"Coal gas, without benzene",— · —,1,1,1,1,2,1,2,1,1,x,1,1,x,x,1,1,1
Cobalt dichloride,CoCl · 007646-79-9 · aqueous,1,1,2,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Cocoa,— · —,1,1,2,1,2,x,1,2,1,x,x,x,x,1,1,1,1
Cocoa butter,— · 008002-31-1,x,x,1,1,1,x,1,2,x,x,x,x,x,x,x,1,1
Coconut butter,— · —,x,x,1,2,1,x,2,2,1,x,x,x,1,x,1,1,1
Coconut fatty alcohol,— · 068425-37-6 · techn. pure,1,x,1,2,1,x,2,1,x,x,1,x,x,x,1,1,1
Coconut oil,— · 008001-31-8 · techn. pure,1,1,1,2,1,x,2,1,x,x,1,x,x,x,1,1,1
Cod-liver oil,— · 008001-69-2,1,1,2,1,2,x,2,1,1,x,1,x,1,x,1,1,1
Colza oil,— · 008002-13-9,x,x,2,2,1,x,2,1,x,x,x,x,x,x,1,1,1
Compressed air,— · — · oleagineus,1,x,2,2,1,x,1,3,x,x,3,x,x,x,1,1,1
Copper acetate,C H CuO · 004180-12-5 · aqueous,1,1,3,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Copper sulfate,CuSO x 5H O · 007758-99-8 · aqueous,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Cotton oil,— · 008001-29-4 · techn. pure,x,x,1,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Creosote,— · —,1,1,3,3,x,x,3,3,x,1,3,4,x,x,1,1,3
Cresol (-mixtures),C 7 H 8 O · 001319-77-3,3,4,4,4,4,4,4,2,4,4,4,4,3,1,1,1,1
Crotonaldehyde,C 4 H 6 O · 004170-30-3 · techn. pure,1,x,2,4,x,4,2,1,x,x,4,x,x,x,1,1,1
Crude oil,— · — · 100 %,x,1,1,3,1,x,1,1,3,1,1,3,x,x,1,1,1
Cumene,C 9 H 12 · 000098-82-8,2,3,2,4,x,4,2,3,4,4,4,x,x,1,1,1,2
Cupric chloride,CuCl 2 · 007447-39-4 · saturated,1,1,3,1,2,1,2,1,x,x,1,1,x,x,1,1,1
Cupric nitrate,Cu(NO 3 ) 2 · 003251-23-8 · saturated,1,1,1,2,2,1,1,1,1,x,1,1,x,x,1,1,1
Cupric nitrate,Cu(NO 3 ) 2 · 003251-23-8 · aqueous,x,x,3,2,2,x,1,1,x,x,x,x,x,x,1,1,1
Cuprous chloride,CuCl · 007758-89-6 · aqueous,x,x,3,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Cuprous cyanide,CCuN · 000544-92-3 · saturated,1,1,2,2,2,x,1,1,x,x,1,1,x,x,1,1,1
Curry,— · —,x,x,2,2,2,x,1,2,3,x,x,x,1,x,1,1,1
Cyclanon,— · —,1,1,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Cyclohexane,C 6 H 12 · 000110-82-7,3,3,1,3,1,4,1,3,4,4,2,1,1,1,1,1,1
Cyclohexanol,C 6 H 12 O · 000108-93-0 · techn. pure,1,1,1,3,x,1,1,1,3,1,1,4,1,x,1,1,1
Cyclohexanone,C 6 H 10 O · 000108-94-1 · techn. pure,1,3,1,4,4,3,1,2,4,4,4,4,4,x,1,1,1
"Cymene, p-",C 10 H 14 · 000099-87-6,x,x,2,4,x,4,2,3,4,x,x,x,x,x,1,1,2
DDT (emulsion),C 14 H 9 Cl 5 · 000050-29-3,x,x,2,3,x,x,2,1,x,x,x,x,4,x,1,1,2
Decahydronaphthalene,C 10 H 18 · 000091-17-8,1,3,1,4,3,4,1,3,4,4,1,3,3,1,1,1,1
Decane,C 10 H 22 · 000124-18-5,x,x,1,2,1,3,1,3,x,x,x,x,x,x,1,1,1
Dehydroacetic acid,C 8 H 8 O 4 · 000520-45-6,x,x,3,2,x,x,3,2,x,x,x,x,1,x,1,1,1
Densodrin W,— · — · aqueous,x,x,x,x,x,x,x,x,x,x,1,x,x,x,1,1,1
Desiccator fat,— · —,x,1,1,2,1,x,1,2,x,x,x,x,x,x,1,1,1
Desmodur 44,15 10 2 2 · 000101-68-8,x,x,x,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Developer for fotos,— · —,1,1,4,2,1,x,1,1,x,1,1,1,x,x,1,1,1
Developer liquids,— · —,1,1,4,1,1,x,1,1,x,1,1,1,x,x,x,1,1
Dextrin,(C H O ) x H O · 009004-53-9 · aqueous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diacetone alcohol,C H O · 000123-42-2,x,x,3,3,x,x,1,2,x,x,x,x,4,x,1,1,2
Diamyl phthalate,C H O · 000131-18-0 · 100 %,x,1,1,4,x,x,2,2,4,x,x,x,x,x,1,1,2
Dibenzyl sebacate,C H O · ??,x,x,2,3,x,x,2,3,x,x,x,x,x,x,1,1,2
Dibromotetrafluoroethane,C Br F · 000124-73-2,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
"Dibutyl phthalate, n-","C H O · 000084-74-2 · FR, 80°C",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x
"Dibutyl phthalate, n-",C H O · 000084-74-2,1,3,1,4,1,x,1,2,4,1,4,4,x,1,1,1,1
Dibutyl sebacate,C H O · 000109-43-3 · techn. pure,1,1,1,3,x,x,2,1,4,x,4,4,4,x,1,1,1
Dibutylamine,C H N · 000111-92-2,x,x,2,3,x,3,2,2,x,x,x,x,x,x,1,1,2
Dichloroacetic acid,C H Cl O · 000079-43-6 · 50 %,1,1,4,4,4,x,4,1,x,x,1,x,x,x,1,1,1
Dichloroacetic acid,C H Cl O · 000079-43-6 · techn. pure,1,3,4,4,4,x,4,1,x,x,1,x,x,x,1,1,1
"Dichlorobenzene, 1,2-",C H Cl · 000095-50-1,3,3,1,4,x,3,2,3,4,4,4,4,4,1,1,1,1
"Dichlorobenzene, 1,4-",C H Cl · 000106-46-7,2,3,1,4,x,2,2,3,4,4,4,x,x,1,1,1,1
Dichlorodifluoromethane,CCl F · 000075-71-8 · techn. pure,4,3,1,4,x,x,1,4,4,1,2,4,3,x,3,1,3
Dichlorodifluoromethane,CCl F · 000075-71-8,4,3,1,4,x,x,1,4,4,1,2,4,3,x,3,1,3
Dichloroethane,C H Cl · —,3,2,3,4,4,4,1,3,4,4,4,4,4,1,1,1,1
Dichloroethylene,C H Cl · — · techn. pure,4,4,3,4,4,4,4,3,4,x,4,4,x,x,1,1,1
Dichlorofluoromethane,CHCl F · 000075-43-4 · 100 %,x,3,1,3,x,x,1,4,4,3,4,4,3,x,3,1,3
Dichlorohexafluorocyclobutane,C Cl F · 000356-18-3,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Dichloroisopropyl ether,C H Cl O · —,4,4,2,3,x,4,3,3,x,x,x,x,x,x,1,1,3
Dichloropropane,C H Cl · — · 100 %,x,x,3,x,4,4,2,4,4,x,x,x,4,x,1,1,2
Dichlorotetrafluoroethane,C Cl F · 000076-14-2,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Dicyclohexyl phthalate,C 20 H 26 O 4 · 000084-61-7 · techn. pure,x,x,1,3,x,x,2,1,x,x,x,x,x,x,1,1,x
Dicyclohexylamine (DCHA),C 12 H 23 N · 000101-83-7,x,x,2,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Diesel fuel,— · —,1,x,1,3,1,x,1,1,x,x,1,x,x,x,1,1,1
Diesel fuel for heating,— · —,3,3,1,3,1,2,1,1,3,1,1,3,1,1,1,1,1
Diesel oil,— · 068334-30-5 · 100 %,1,1,1,3,1,x,1,1,3,x,1,3,1,x,1,1,1
Diethanolamine (DEA),C 4 H 11 NO 2 · 000111-42-2 · 100 %,x,1,2,3,x,x,2,1,1,x,x,x,1,x,1,1,1
Diethyl ethyl,C 4 H 10 O · 000060-29-7 · techn. pure,3,4,1,4,1,4,1,4,4,4,4,4,4,1,1,1,1
Diethyl malonate,C 7 H 12 O 4 · 000105-53-3,1,1,2,3,x,1,2,1,4,3,2,x,x,1,1,1,3
Diethyl sebacate,C 14 H 26 O 4 · 000110-40-7,x,x,2,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Diethyl succinate,C 8 H 14 O 4 · 000123-25-1,x,x,2,4,x,x,3,2,x,x,x,x,x,x,1,1,2
Diethylamine,C 4 H 11 N · 000109-89-7 · techn. pure,x,x,2,3,x,x,2,1,x,x,3,x,x,x,1,1,1
Diethylbenzene,C 10 H 14 · 000135-01-3,3,4,1,3,x,4,2,4,4,4,4,x,x,1,1,1,2
Diethylene glycol,C 4 H 10 O 3 · 000111-46-6,1,1,3,2,x,1,2,1,2,2,3,x,1,1,1,1,2
Diethylene glycolether,— · —,1,1,3,3,x,1,2,1,4,3,3,x,x,1,1,1,2
Difluoroethane,C 2 H 2 F 2 · 000075-37-6,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Difluoromethane,CH 2 F 2 · 000075-10-5,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Diglycolic acid,C 4 H 6 O 5 · 000110-99-6 · aqueous,1,1,3,2,x,x,3,1,x,x,x,x,x,x,1,1,1
Diglycolic acid,C 4 H 6 O 5 · 000110-99-6 · 30 %,1,1,3,1,2,x,3,1,x,x,1,x,x,x,1,1,1
Diisobutyl ketone,C 9 H 18 O · 000108-83-8 · techn. pure,1,1,3,3,4,4,1,1,x,x,4,x,x,x,1,1,1
Diisobutylene (DIB),C 6 H 10 · 025167-70-8,x,x,1,3,2,4,1,1,x,x,x,x,x,x,1,1,x
Diisopropyl ether,C 6 H 14 O · 000108-20-3 · techn. pure,3,3,4,4,1,4,1,3,4,1,4,4,x,x,1,1,1
Di-isopropyl ketone,C 7 H 14 O · 000565-80-0,x,x,3,3,4,x,1,3,x,x,x,x,x,x,1,1,2
Dimethyl ether,2 6 · 000115-10-6 · gas,x,3,1,3,1,x,2,4,4,x,3,4,x,x,x,1,3
Dimethyl formamide (DMF),3 7 · 000068-12-2,1,1,1,4,1,1,1,1,4,4,3,x,4,2,1,1,4
Dimethyl phthalate (DMP),C H O · 000131-11-3 · 100 %,4,1,2,4,x,x,2,2,4,x,4,4,4,x,1,1,2
Dimethyl sulfoxide (DMSO),C H SO · 000067-68-5,1,1,2,4,x,1,1,1,1,4,4,x,x,1,1,1,3
Dimethylamine,C H N · 000124-40-3 · techn. pure,1,1,1,4,x,x,2,1,x,x,3,4,x,x,1,1,3
Dinitro ethylene glycol,C H (NO ) · 000628-96-6 · diluted,x,x,3,3,x,x,2,2,x,x,4,4,x,x,1,1,3
Dinonyl phthalate (DNP),C H O · 000084-76-4 · techn. pure,3,x,2,3,x,x,2,1,x,x,4,x,x,x,1,1,2
Dioctyl adipate,C H O · 000103-23-1,x,x,2,3,x,x,2,4,x,x,x,x,x,x,1,1,2
Dioctyl phthalate (DOP),C H O · 000117-81-7 · techn. pure,4,4,1,4,1,1,2,4,4,1,4,4,x,x,1,1,2
Dioctyl sebacate,C H O · 002432-87-3,x,x,2,3,x,x,2,3,x,x,x,x,x,x,1,1,2
Dioxane,C H O · 000123-91-1,2,2,1,4,1,2,1,3,4,2,3,4,4,1,1,1,3
Diphenyl ether,C H O · 000101-84-8,x,1,3,3,4,x,1,4,4,x,x,4,4,x,1,1,2
Diphenylamine,C H N · 000122-39-4,x,x,x,3,x,x,2,3,x,x,x,x,4,x,1,1,2
Diphyl,— · 008004-13-5,x,x,1,3,4,x,1,4,4,x,x,x,x,x,1,1,2
Dipropyl ketone,C H O · 000123-19-3,x,x,3,4,4,4,1,3,x,x,x,x,x,x,1,1,2
Dipropylene glycol,C H O · 025265-71-8,1,1,2,2,x,1,1,1,1,2,2,x,x,1,1,1,2
Dipropylene glycol (mono)methyl ether,C H O · —,x,x,3,3,x,x,2,2,x,x,x,x,4,x,1,1,2
Disodium phosphate,Na HPO · 007558-79-4,1,1,1,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Dispersion of rubber,— · —,x,x,1,2,2,x,2,1,x,x,x,x,x,x,1,1,1
"Dope, viscous ~",— · —,1,1,4,3,x,x,x,1,x,x,1,1,x,x,1,1,1
Emulsifiers,— · —,x,x,2,x,x,x,x,1,x,x,x,x,x,x,1,1,1
Emulsions for fotos,— · —,1,x,1,2,2,x,1,1,x,x,1,x,x,x,1,1,1
Ephetin,— · — · 10% in water,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x
Epichlorhydrin,C H ClO · 000106-89-8 · 100 %,1,1,4,4,x,4,1,2,x,x,4,4,x,x,1,1,3
Ethoxybenzene,C 8 H 10 O · 000103-73-1,x,x,2,4,x,3,2,3,x,x,x,x,x,x,1,1,2
Ethyl acetate,C 4 H 8 O 2 · 000141-78-6 · 100 %,1,3,1,4,4,4,1,1,4,4,4,4,4,1,1,1,3
Ethyl acrylate,C 5 H 8 O 2 · 000140-88-5 · 100 %,4,4,1,4,4,4,2,4,x,x,4,4,x,x,1,1,3
Ethyl alcohol,C 2 H 6 O · 000064-17-5 · 40 %,1,1,1,1,1,1,1,1,2,1,1,x,1,1,1,1,1
Ethyl alcohol,C 2 H 6 O · 000064-17-5 · 50 %,1,1,1,1,1,1,1,1,1,1,1,3,x,x,1,1,1
Ethyl alcohol,C 2 H 6 O · 000064-17-5 · 96 %,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1
Ethyl benzoate,C 9 H 10 O 2 · 000093-89-0,2,3,2,4,x,2,2,2,4,4,4,x,4,1,1,1,3
Ethyl butyrate,C 6 H 12 O 2 · 000105-54-4,2,2,2,4,x,3,2,2,4,4,4,x,x,1,1,1,2
Ethyl chloroacetate,C 4 H 7 ClO 2 · 000105-39-5 · techn. pure,1,1,3,4,4,4,3,1,4,x,3,3,x,x,1,1,1
Ethyl cyanoacetate,C 5 H 7 NO 2 · 000105-56-6,1,1,x,3,x,1,2,1,2,3,3,x,x,1,1,1,3
Ethyl formate,C 3 H 6 O 2 · 000109-94-4,x,x,x,4,x,4,2,2,x,x,x,x,x,x,1,1,3
Ethyl lactate,C 5 H 10 O 3 · 000097-64-3,1,1,2,3,x,1,2,1,3,3,3,x,x,1,1,1,3
Ethyl mercaptan,C 2 H 6 S · 000075-08-1,x,x,2,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Ethyl silicate,C 8 H 20 SiO 4 · 000078-10-4,x,x,2,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Ethylbenzene,C 8 H 10 · 000100-41-4,2,3,2,4,x,3,1,3,4,4,4,4,4,2,1,1,1
Ethylene,C 2 H 4 · 000074-85-1,x,x,1,2,x,x,1,2,x,x,x,x,x,x,1,1,2
Ethylene dibromiden (EDB),2 4 2 · 000106-93-4,4,4,2,4,4,4,2,4,4,x,x,x,x,x,1,1,1
Ethylene glycol,2 6 2 · 000107-21-1,1,1,3,2,1,1,1,1,1,1,1,3,1,1,1,1,1
Ethylene glycol monobutyl ether,4 14 2 · 000111-76-2 · 100 %,x,1,1,2,1,x,1,1,x,x,4,4,x,x,1,1,1
Ethylene glycol monoethyl ether,C H O · 000110-80-5 · 100 %,x,4,3,2,x,x,1,2,4,1,4,4,4,x,1,1,1
Ethylene glycol monoethyl ether acetate,C H O · 000115-15-9,1,1,x,3,x,1,2,1,4,4,3,x,x,1,1,1,2
Ethylene glycol monomethyl ether,C H O · 000109-86-4 · 100 %,1,1,1,3,x,1,1,1,4,3,3,4,x,1,1,1,1
Ethylene glycol monomethyl ether oleate,C H O · 000111-10-4,1,1,2,3,2,1,2,1,4,4,4,x,x,1,1,1,1
Ethylenediaminetetraacetic acid (EDTA),C H N O · 000060-00-4,1,1,2,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Ethylhexanol-1,C H O · 000104-76-7,x,1,2,2,1,1,1,1,3,x,1,4,x,x,1,1,1
Eucalyptus oil,— · 008000-48-8,x,x,2,3,x,x,2,2,4,x,x,x,3,x,1,1,2
"Exhaust gases, alkaline",— · —,1,x,2,x,x,x,1,1,x,x,1,x,x,x,x,1,1
"Exhaust gases, containing carbon dioxide",— · — · small,1,x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Exhaust gases, containing hydrochloric acid",— · — · each,1,x,3,x,x,x,4,1,x,x,1,x,x,1,1,1,1
"Exhaust gases, containing hydrogen fluoride",— · — · small,1,x,3,3,x,x,4,1,x,x,1,x,x,2,1,1,1
"Exhaust gases, containing nitrose",— · — · small,1,x,3,x,x,x,4,1,x,x,1,x,x,2,1,1,1
"Exhaust gases, containing sulfur dioxide",— · — · small,1,x,2,x,x,x,4,1,x,x,1,x,x,x,1,1,1
"Exhaust gases, containing sulfur trioxide",— · — · small,1,x,4,x,x,x,4,4,x,x,1,x,x,2,2,1,1
"Exhaust gases, containing sulfuric acid",— · — · each,1,x,4,x,x,x,4,1,x,x,1,x,x,2,1,1,1
"Fat, animal",— · —,x,x,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
"Fat, mineral",— · —,x,x,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
"Fat, vegetable",— · —,x,x,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
"Fats, edible oil",— · —,x,1,1,1,1,1,1,3,x,1,1,3,x,x,1,1,1
Fatty alcohol sulfonates,— · — · aqueous,1,x,1,2,1,x,1,1,x,x,1,x,x,x,1,1,1
Ferric chloride,FeCl · 007705-08-0 · saturated,1,1,3,1,x,1,4,1,1,1,1,1,1,1,1,1,1
Ferric nitrate,Fe(NO ) · 010421-48-4 · aqueous,1,1,2,2,x,x,3,1,x,x,x,x,x,1,1,1,1
Ferric nitrate,Fe(NO ) · 010421-48-4 · saturated,1,1,1,1,x,1,3,1,1,x,1,1,1,1,1,1,1
