Ethylene Glycol Heat Transfer Fluid Freeze Point Char,,,,,,
FreezingPointįF,FreezingPointįC,BoilingPointįF/760mm/Hg,BoilingPointįC@0.96,EthyleneGlycolWt.%,EthyleneGlycolVol.%,E200Vol.
32,0,212,100,0,0,0
29.4,-1.4,213,101,5,4.4,4.681
26.2,-3.2,214,101,10,8.9,9.468
22.2,-5.4,215,102,15,13.6,14.468
17.9,-7.8,216,102,20,18.1,19.255
16.8,-8.4,216,102,21,19.2,20.426
15.9,-8.9,216,102,22,20.1,21.383
14.9,-9.5,217,103,23,21,22.34
13.7,-10.2,217,103,24,22,23.404
12.7,-10.7,218,103,25,22.9,24.362
11.4,-11.4,218,103,26,23.9,25.426
10.4,-12,218,103,27,24.8,26.383
9.2,-12.6,219,104,28,25.8,27.447
8,-13.3,219,104,29,26.7,28.404
6.7,-14.1,220,104,30,27.7,29.468
5.4,-14.8,220,104,31,28.7,30.532
4.2,-15.4,220,104,32,29.6,31.489
2.9,-16.2,220,104,33,30.6,32.553
1.4,-17,220,104,34,31.6,33.617
-0.2,-17.9,221,105,35,32.6,34.681
-1.5,-18.6,221,105,36,33.5,35.638
-3,-19.4,221,105,37,34.5,36.702
-4.5,-20.3,221,105,38,35.5,37.766
-6.4,-21.3,221,105,39,36.5,38.83
-8.1,-22.3,222,106,40,37.5,39.894
-9.8,-23.2,222,106,41,38.5,40.957
-11.7,-24.3,222,106,42,39.5,42.021
-13.5,-25.3,223,106,43,40.5,43.085
-15.5,-26.4,223,106,44,41.5,44.149
-17.5,-27.5,224,107,45,42.5,45.213
-19.8,-28.8,224,107,46,43.5,46.277
-21.6,-29.8,224,107,47,44.5,47.34
-23.9,-31.1,224,107,48,45.5,48.404
-26.7,-32.6,224,107,49,46.6,49.574
-28.9,-33.8,225,107,50,47.6,50.638
-31.2,-35.1,225,107,51,48.6,51.702
-33.6,-36.4,225,107,52,49.6,52.766
-36.2,-37.9,226,108,53,50.6,53.83
-38.8,-39.3,226,108,54,51.6,54.894
-42,-41.1,227,108,55,52.7,56.064
-44.7,-42.6,227,108,56,53.7,57.128
-47.5,-44.2,228,109,57,54.7,58.191
-50,-45.6,228,109,58,55.7,59.255
-52.7,-47.1,229,109,59,56.8,60.426
-54.9,-48.3,230,110,60,57.8,61.489
<-55.0,<-49,235,113,65,62.8,66.809
<-55.0,<-49,242,117,70,68.3,72.66
<-55.0,<-49,248,120,75,73.6,78.298
-52.2,-46.8,255,124,80,78.9,83.936
-34.5,-36.9,273,134,85,84.3,89.681
-21.6,-29.8,285,141,90,89.7,-
-3,-19.4,317,158,95,95,-
